,XGBoost_Gain,RandomForest,Permutation,LinearRegression,Correlation,综合得分
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m5,0.022264728148920897,0.038502380767292864,0.07917437100547399,0.049714734275621404,0.2021144605312718,0.07835413494571619
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m2,0.017494100141486817,0.03136786938247033,0.11158020648253848,0.00889517020564965,0.21254229224751892,0.07637592769193284
VOD_Ku_1987_2017_multiyear_mean_m01,0.020031569881533276,0.005703222778334446,0.1414522451493694,0.035050591267185086,0.1776647319159464,0.07598047219847373
SOIL_cec_5.15cm_mean_0.01_deg,0.01352140591241212,0.04326692845483711,0.09811505670466228,0.010673296858956466,0.21231291462506102,0.0755779205111858
SOIL_clay_60.100cm_mean_0.01_deg,0.02104638828018547,0.03886141149084429,0.11265820984211242,0.16105679112930268,0.04073844579695843,0.07487224930788065
SOIL_soc_5.15cm_mean_0.01_deg,0.039605959391139645,0.12263285138859513,0.10046210996923476,0.007902972450382488,0.09806838619025758,0.07373445587792192
SOIL_ocs_0.30cm_mean_0.01_deg,0.018159194513286056,0.05702899793830112,0.10544585582630449,0.022453064604517403,0.1586611110608875,0.07234964478865931
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m3,0.01388104498128587,0.033343752080891166,0.09665263838360401,0.03149472724033447,0.18182375934696626,0.07143918440661637
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m12,0.020287607839548985,0.05525491206177278,0.0699424339005224,0.006978083556667114,0.20091446798297574,0.07067550106829741
SOIL_bdod_15.30cm_mean_0.01_deg,0.005952160359840915,0.017682634218363736,0.13068700688205012,0.044632332722836995,0.14516751649439183,0.06882433013549671
SOIL_soc_100.200cm_mean_0.01_deg,0.017403762476505193,0.06665726774951637,0.08813759283918461,0.05025790053175034,0.12121378261152724,0.06873406124169675
SOIL_cfvo_30.60cm_mean_0.01_deg,0.030213235137046667,0.0734308182782243,0.08827761957971848,0.06149370448117391,0.08551037139285962,0.06778514977380459
SOIL_phh2o_100.200cm_mean_0.01_deg,0.022239029357046334,0.021303164351346035,0.10929951405107087,0.0046425857310067745,0.18072248736177174,0.06764135617044835
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m7,0.046334916210707906,0.03589472233076641,0.092301955193086,0.11890635730974362,0.04118601765080563,0.06692479373902191
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m10,0.013966078929655816,0.033346276826910916,0.08491631212718595,0.03694436114348031,0.1623427395594288,0.06630315371733235
SOIL_clay_30.60cm_mean_0.01_deg,0.007734934767346046,0.036600606528912505,0.12137177943661966,0.15699977300905626,0.004139625603197549,0.0653693438690264
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m10,0.01293587282891772,0.01593272544349767,0.11512507101515776,0.08334756945900909,0.09252346992845575,0.0639729417350076
WORLDCLIM_BIO13.BIO14_delta_precipitation_of_wettest_and_dryest_month,0.009495436334646926,0.1310029912227232,0.07747388139425161,0.0035391697000778555,0.09211324473109125,0.06272494467655818
SOIL_cec_100.200cm_mean_0.01_deg,0.015597538163751444,0.0468278153568644,0.10456684267283135,0.05857063440004574,0.08120707565159861,0.06135398124901831
SOIL_cfvo_60.100cm_mean_0.01_deg,0.02590681388746317,0.06452821223654985,0.09918706421267078,0.011645398771720576,0.10514023810210162,0.0612815454421012
SOIL_soc_60.100cm_mean_0.01_deg,0.016741365660831165,0.06971630054006457,0.08322176029281285,0.03108816508634765,0.10474246843896874,0.061102012003804995
WORLDCLIM_BIO12_annual_precipitation,0.007213137678830557,0.12557034207287304,0.0,0.014213396347386238,0.15659524591797558,0.06071842440341309
VOD_Ku_1987_2017_multiyear_mean_m02,0.013119661149727723,0.007367192889063357,0.1244074828629899,0.008509444514184724,0.14864868661040462,0.06041049360527406
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m8,0.03185509962613451,0.023482829360143613,0.09796815158883088,0.0016309986855035862,0.14144264494750006,0.05927594484162253
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m9,0.019128165536068917,0.031041333554478398,0.08703606959343037,0.04006697222847128,0.1189177325450595,0.059238054691501695
SOIL_ocd_15.30cm_mean_0.01_deg,0.02702243336695022,0.06703313538738699,0.08896906476292793,0.012451396839287353,0.09793297842037094,0.05868180175538469
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m8,0.01990794758666174,0.03294032759315953,0.0934530375007829,0.07123030696416055,0.06972401848940764,0.05745112762683448
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m7,0.02392748346537266,0.030188878086421685,0.08959362263826742,0.12398820716348297,0.01649520586758794,0.056838679444226534
SOIL_soc_30.60cm_mean_0.01_deg,0.021127414668274946,0.05205951602603875,0.10841794711330291,0.04516453434361376,0.05602166866052223,0.056558216162350516
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m8,0.016305505398813775,0.01942291554157321,0.10665911385281093,0.11518849786571943,0.02257360484664162,0.0560299275011118
SOIL_cfvo_15.30cm_mean_0.01_deg,0.01271475908315961,0.03982490025656427,0.11008806872478984,0.03123788134059212,0.08301167406334589,0.05537545669369035
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m11,0.012392304191428642,0.01559752052079026,0.1212860098698887,0.010175932671547906,0.11703498801587267,0.05529735105390563
SOIL_cfvo_5.15cm_mean_0.01_deg,0.011709058091862849,0.04167136569531547,0.10646134664156286,0.008740205070209109,0.10259624015640961,0.05423564313107199
MODIS_2000.2020_monthly_mean_surface_reflectance_band_05_._month_m4,0.01485947129833102,0.030230551016771946,0.11789309963318363,0.0,0.10814942639613452,0.054226509668884225
SOIL_cec_15.30cm_mean_0.01_deg,0.007125353552604008,0.03379346242104618,0.09782811047293756,0.01636220647309797,0.11045433216512078,0.053112693016961296
SOIL_bdod_0.5cm_mean_0.01_deg,0.00229149915011611,0.03454491586792528,0.11046627404958888,0.03382486460753367,0.08385779277598844,0.05299706929023048
SOIL_cfvo_100.200cm_mean_0.01_deg,0.030831014263627124,0.0713212886833139,0.0713980751709135,0.009945981753509248,0.07228696462854528,0.05115666489998181
SOIL_cec_60.100cm_mean_0.01_deg,0.0177962125796863,0.032514413445237346,0.11037490406871095,0.046951320875798765,0.041260739052761564,0.049779518004438986
SOIL_bdod_5.15cm_mean_0.01_deg,0.011687491490685218,0.021820089551729996,0.10078013294655264,0.02051431978135635,0.08810539689180977,0.04858148613242679
MODIS_2000.2020_monthly_mean_surface_reflectance_band_01_._month_m7,0.01299809387194541,0.021936888984383923,0.09601537560474212,0.014437758516573604,0.09727392591743456,0.048532408579015925
MODIS_2000.2020_monthly_mean_surface_reflectance_band_03_._month_m10,0.012765273175734258,0.028236141802182483,0.10375054312124529,0.068573322407795,0.022351208286307222,0.04713529775865285
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m11,0.02574420996788698,0.0721092469864581,0.07506778737048098,0.009743392943723984,0.04999213305487419,0.046531354064684845
MODIS_2000.2020_monthly_mean_surface_reflectance_band_02_._month_m10,0.020409665330302716,0.06021878086998995,0.07112867882944232,0.03730945112596215,0.03684141560056686,0.0451815983512528
SOIL_ocd_5.15cm_mean_0.01_deg,0.021878811449127233,0.05758699702760507,0.0976060238158777,0.0068539278506991475,0.03415518941345206,0.04361618991135224
SOIL_cfvo_0.5cm_mean_0.01_deg,0.010146793664987186,0.05090276940754355,0.08733828173735557,0.005213614823321186,0.0426268570505482,0.03924566333675114
SOIL_soc_15.30cm_mean_0.01_deg,0.020182663489757956,0.06778664150283273,0.04917344502740649,0.040313880683077355,0.003091007161885615,0.03610952757299203
SOIL_cec_30.60cm_mean_0.01_deg,0.015251084992939423,0.03630948089094193,0.10613019262575837,0.0066643706041448255,0.00672347382344963,0.03421572058744683
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m10,0.009436793569354115,0.01634190622024853,0.12059768957187296,0.00318064196685017,0.0,0.02991140626566515
